region,2017,2018,2019,2020,2021
서울,131697,134754,13449,144320,162043
부산,14033,15449,15817,16968,17267
대구,12380,13258,13360,13641,14876
인천,25482,27613,28459,29336,32270
광주,7993,9010,8269,9539,11089
대전,76985,79922,77059,88738,94428
울산,7299,11103,11100,10672,11900
경기,384625,436153,459348,470451,519571
